Word,Count,Category
Academic,1,Student
Accessories,1,Other
Airport,2,Other
Alley,1,Other
American,1,Other
Arcade,1,Shopping/Sightseeing
Area,3,Other
Argentinian,1,Other
Aristocrat,1,Other
Art,3,Shopping/Sightseeing
Arts,3,Shopping/Sightseeing
Asian,1,Other
Athletics,1,Sports/Recreation
ATM,1,Other
Auditorium,1,Shopping/Sightseeing
Australian,1,Other
Baby,1,Other
Badminton,1,Sports/Recreation
Bagel,1,Other
Bakery,1,Shopping/Sightseeing
Bank,1,Other
Bar,13,Social
Barbershop,1,Other
Baseball,1,Sports/Recreation
Basketball,1,Sports/Recreation
Bay,1,Other
BBQ,1,Other
Beauty,1,Other
Bed,1,Other
Beer,3,Social
Betting,1,Other
Bike,2,Other
Bistro,1,Social
Board,1,Other
Boarding,1,Other
Boat,1,Sports/Recreation
Bodega,1,Social
Bookstore,1,Shopping/Sightseeing
Border,1,Other
Botanical,1,Shopping/Sightseeing
Boutique,1,Shopping/Sightseeing
Bowling,2,Sports/Recreation
Breakfast,3,Social
Brewery,1,Social
Bridge,1,Other
Bubble,1,Other
Buddhist,1,Other
Buffet,1,Social
Building,3,Other
Burger,1,Social
Burmese,1,Other
Burrito,1,Social
Bus,3,Other
Business,1,Other
Cafe,1,Social
Café,2,Social
Cafeteria,2,Social
Canal,1,Other
Candy,1,Other
Cantonese,1,Other
Casino,1,Shopping/Sightseeing
Center,6,Other
Cha,1,Other
Chaan,1,Other
Chicken,1,Other
Chinese,3,Other
Chips,1,Other
Chocolate,1,Other
Church,1,Other
Churrascaria,1,Other
Climbing,2,Sports/Recreation
Clothing,1,Shopping/Sightseeing
Club,4,Other
Cocktail,1,Social
Coffee,1,Social
College,6,Student
Comfort,1,Other
Concert,1,Shopping/Sightseeing
Convenience,1,Other
Cosmetics,1,Other
Course,1,Other
Court,4,Other
Coworking,1,Other
Crafts,1,Shopping/Sightseeing
Cream,1,Other
Creperie,1,Social
Crossing,1,Other
Cuban,1,Other
Cupcake,1,Other
Curry,1,Other
Dance,1,Sports/Recreation
Deck,1,Other
Deli,1,Shopping/Sightseeing
Department,1,Other
Dessert,1,Social
Dim,1,Social
Diner,1,Social
Discount,1,Shopping/Sightseeing
Dive,1,Sports/Recreation
Doctor's,1,Other
Dog,1,Other
Dojo,1,Other
Dongbei,1,Other
Donut,1,Other
Drink,1,Other
Duck,1,Other
Dumpling,1,Social
Duty-free,1,Shopping/Sightseeing
Eastern,1,Other
Electronics,1,Other
English,1,Other
Entertainment,1,Social
European,1,Other
Event,1,Other
Exhibit,1,Shopping/Sightseeing
Farmers,1,Other
Fast,1,Other
Ferry,1,Other
Field,3,Other
Filipino,1,Other
Fish,1,Other
Fitness,1,Sports/Recreation
Flea,1,Other
Flower,1,Other
Food,10,Other
French,1,Other
Fried,1,Other
Frozen,1,Other
Fruit,1,Other
Fujian,1,Other
Furniture,1,Other
Gallery,1,Shopping/Sightseeing
Game,2,Other
Gaming,1,Sports/Recreation
Garden,5,Sports/Recreation
Gas,1,Other
Gastropub,1,Social
Gathering,1,Other
Gay,1,Other
General,2,Other
German,1,Other
Gift,1,Other
Gluten-free,1,Other
Go,1,Other
Golf,1,Sports/Recreation
Goods,1,Other
Gourmet,1,Other
Government,1,Other
Great,1,Other
Greek,1,Other
Green,1,Other
Grocery,1,Other
Gym,5,Sports/Recreation
Hainan,1,Other
Hakka,1,Other
Halal,1,Other
Hall,3,Other
Harbor,1,Other
Hardware,1,Other
Health,2,Other
Historic,1,Shopping/Sightseeing
History,1,Shopping/Sightseeing
Hobby,1,Other
Home,1,Other
Hong,1,Other
Hookah,1,Other
Hospital,1,Other
Hostel,1,Hotels
Hotel,3,Hotels
Hotpot,1,Other
House,3,Other
Ice,1,Other
Indian,3,Other
Indie,1,Other
Indonesian,1,Other
Indoor,1,Sports/Recreation
Information,1,Other
Italian,1,Other
Japanese,2,Other
Jazz,1,Other
Jewelry,1,Other
Joint,4,Other
Juice,1,Other
Karaoke,1,Social
Kart,1,Other
Kebab,1,Other
Kids,1,Other
Kitchen,1,Other
Kong,1,Other
Korean,1,Other
Lake,1,Sports/Recreation
Landmark,1,Shopping/Sightseeing
Light,1,Other
Lighthouse,1,Shopping/Sightseeing
Line,1,Other
Lingerie,1,Other
Lookout,1,Sports/Recreation
Lounge,3,Other
Macanese,1,Other
Malay,1,Other
Mall,1,Shopping/Sightseeing
Marina,1,Other
Market,4,Social
Martial,1,Sports/Recreation
Massage,1,Other
Medical,1,Other
Mediterranean,1,Other
Metro,1,Other
Mexican,1,Other
Middle,1,Other
Miscellaneous,1,Other
Mobile,1,Other
Modern,1,Other
Monument,1,Shopping/Sightseeing
Mosque,1,Other
Motel,1,Hotels
Motorcycle,1,Other
Movie,1,Social
Multiplex,1,Social
Museum,4,Shopping/Sightseeing
Music,2,Social
Nail,1,Other
Neighborhood,1,Other
Night,1,Other
Nightclub,1,Social
Non-Profit,1,Other
Noodle,1,Other
North,1,Other
Office,4,Other
Optical,1,Other
or,1,Other
Other,2,Other
Outdoor,1,Sports/Recreation
Outdoors,2,Sports/Recreation
Outlet,1,Shopping/Sightseeing
Pakistani,1,Other
Paper,1,Other
Park,4,Sports/Recreation
Pastry,1,Other
Pedestrian,1,Other
Peking,1,Other
Performing,1,Sports/Recreation
Persian,1,Other
Peruvian,1,Other
Pet,2,Other
Pharmacy,1,Other
Phone,1,Other
Photography,1,Other
Pie,1,Other
Pizza,1,Other
Place,7,Other
Play,1,Other
Playground,1,Sports/Recreation
Plaza,3,Other
Pool,4,Sports/Recreation
Pop-Up,1,Other
Portuguese,1,Other
Post,1,Other
Pub,1,Social
Public,1,Other
Racetrack,1,Sports/Recreation
Rail,1,Other
Ramen,1,Social
Recreation,2,Sports/Recreation
Rental,1,Other
Repair,1,Other
Residence,1,Other
Resort,1,Hotels
Rest,1,Sports/Recreation
Restaurant,66,Social
Rink,1,Sports/Recreation
River,1,Other
Rock,2,Sports/Recreation
Roof,1,Other
Room,1,Other
Run,1,Sports/Recreation
Sake,1,Social
Salad,1,Other
Salon,2,Other
Sandwich,1,Other
Satay,1,Social
Scenic,1,Sports/Recreation
School,1,Student
Science,1,Shopping/Sightseeing
Sculpture,2,Shopping/Sightseeing
Seafood,1,Other
Service,3,Other
Shaanxi,1,Other
Shabu-Shabu,1,Social
Share,1,Other
Shipping,1,Other
Shoe,1,Other
Shop,31,Shopping/Sightseeing
Shopping,2,Shopping/Sightseeing
Site,1,Other
Skate,1,Sports/Recreation
Skating,1,Sports/Recreation
Ski,1,Other
Smoke,1,Other
Snack,1,Other
Soba,1,Other
Soccer,2,Sports/Recreation
Soul,1,Other
Soup,1,Other
South,1,Other
Southern,1,Other
Spa,1,Other
Space,2,Other
Spanish,1,Other
Speakeasy,1,Social
Sporting,1,Sports/Recreation
Sports,3,Sports/Recreation
Spot,2,Other
Stadium,2,Sports/Recreation
Stand,2,Other
Startup,1,Other
Station,6,Other
Stationery,1,Other
Steakhouse,1,Social
Stop,1,Other
Store,32,Other
Street,1,Other
Student,1,Student
Studio,4,Other
Sum,1,Other
Supermarket,1,Other
Supplies,1,Other
Supply,1,Other
Sushi,1,Other
Swiss,1,Other
Szechuan,1,Other
Taiwanese,1,Other
Tapas,1,Other
Taxi,2,Other
Tea,2,Other
Tech,1,Other
Temple,2,Other
Teng,1,Other
Tennis,1,Sports/Recreation
Thai,1,Other
Theater,3,Shopping/Sightseeing
Theme,2,Other
Thrift,1,Other
Tourist,1,Shopping/Sightseeing
Toy,1,Other
Track,2,Sports/Recreation
Trail,1,Sports/Recreation
Train,1,Other
Travel,1,Other
Truck,1,Other
Udon,1,Other
University,1,Student
Vegan,1,Other
Vegetable,1,Other
Vegetarian,1,Other
Venue,2,Other
Video,2,Other
Vietnamese,1,Other
Vintage,1,Other
Warehouse,1,Other
Water,1,Other
Waterfall,1,Sports/Recreation
Waterfront,1,Other
Whisky,1,Other
Wine,2,Other
Wings,1,Other
Women's,1,Other
Yoga,1,Sports/Recreation
Yogurt,1,Other
Yunnan,1,Other
